PHD2 version 2.4.0, Log version 2.5. Log enabled at 2014-11-29 22:08:26

Guiding Begins at 2014-11-29 22:08:42
Dither = both axes, Dither scale = 1.000, Image noise reduction = none, Guide-frame time lapse = 0, Server enabled
Pixel scale = 7.73 arc-sec/px, Focal length = 100 mm
Search region = 15 px, Star mass tolerance = 50.0%
Equipment Profile = q5_100
Camera = Simulator, gain = 95, full size = 752 x 580, no dark, no defect map, pixel size = 3.8 um
Exposure = 1000 ms
Mount = EQMOD ASCOM Simulator,  connected, guiding enabled, xAngle = -3.5, xRate = 0.0006, yAngle = 265.2, yRate = 0.0008, Dec = 90.0 deg, Pier side = West
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.170
Y guide algorithm = Resist Switch, Minimum move = 0.170
Calibration step = phdlab_placeholder, Max RA duration = 2000, Max DEC duration = 2000, DEC guide mode = Auto
Lock position = 428.883, 179.151, Star position = 428.883, 179.151
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,1.121,"Mount",0.079,0.124,0.072,-0.127,0.000,0.000,0,,0,,,,85047,7.83,0
2,2.241,"Mount",-0.052,0.001,-0.052,0.001,0.000,0.000,0,,0,,,,69734,10.24,0
3,3.340,"Mount",-0.087,0.076,-0.091,-0.072,0.000,0.000,0,,0,,,,79761,9.54,0
4,4.411,"Mount",-0.038,0.194,-0.050,-0.192,0.000,0.000,0,,0,,,,74899,9.54,0
5,5.517,"Mount",-0.159,0.112,-0.165,-0.106,0.000,0.000,0,,0,,,,76465,9.94,0
6,6.965,"Mount",-0.322,-0.027,-0.320,0.039,-0.201,0.000,322,E,0,,,,76420,9.72,0
7,8.038,"Mount",-0.049,-0.098,-0.043,0.100,0.000,0.000,0,,0,,,,78271,9.19,0
8,9.146,"Mount",-0.129,0.215,-0.142,-0.210,0.000,0.000,0,,0,,,,80271,9.66,0
9,11.217,"Mount",-0.279,0.376,-0.302,-0.364,-0.190,-0.364,304,E,453,N,,,85313,7.58,0
10,13.270,"Mount",-0.544,0.260,-0.559,-0.238,-0.365,-0.238,583,E,296,N,,,74459,8.62,0
11,15.021,"Mount",0.365,0.207,0.352,-0.221,0.196,-0.221,313,W,275,N,,,88728,7.89,0
12,16.532,"Mount",-0.444,-0.137,-0.435,0.154,-0.260,0.000,415,E,0,,,,76006,8.97,0
13,17.842,"Mount",-0.211,-0.145,-0.201,0.153,-0.145,0.000,232,E,0,,,,80121,8.77,0
14,19.191,"Mount",-0.254,-0.165,-0.243,0.175,-0.163,0.000,261,E,0,,,,89227,8.70,0
15,20.271,"Mount",-0.084,-0.018,-0.083,0.021,0.000,0.000,0,,0,,,,67691,11.01,0
